"SP2_ball_received_T","dv1_OE_game_satisfaction","dv1_oe_playtime_satisfaction","dv1_oe_earnings_satisfaction","dv1_oe_treasurer_behavior","dv1_oe_sp2_behavior","dv1_oe_message_to_treasurer","exp_condition"
"8","I feel like the treasurer and SP2 were focused more on each other than passing it to me. I was hoping to achieve a higher score than I did so I am disappointed about that. I think maybe if I passed the ball more to SP2 they might have done the same in return.","No, I think I did not as many chances to throw as I would have liked. I think had we continued I would have probably done better and maybe adapted a different strategy. I think playing more selfishly did not help me in this game, I should have passed to SP2 more.","Yes, I think I could have made more for sure but we ended pretty even. I am grateful for any amount earned honestly so this still feels like a win. The competitive side of me wishes to play longer and to be much more ahead of SP2 in terms of earnings.","The treasurer definitely favored SP2 and it was very clear. Again I think maybe passing to SP2 could have made them feel more generous when it comes to passing to me as well. Overall, the treasurer choosing SP2 majority of the time did cost me a lot of points that I could have earned.","SP2 played a pretty fair game. They passed it to me more than I passed to them so I can't even complain. They were playing to win and also was a bit generous passing it to me at least twice. I wish I would have done the same in return.","Why did you barely pass it to me? You costed me my chance of earning more rewards by continuously passing to SP2. You seemed clearly biased. I was expecting more of a fair shot with you as the treasurer, if given more time would you have continued to play this way?",4
"6","I was somewhat unsatisfied with how the game went overall because it felt noticeably unfair from fairly early on. The opportunities to toss the ball and therefore earn points were distributed in a way that heavily favored one player over the other, which made the experience feel unbalanced and less enjoyable. I had hoped for a more even chance to participate and accumulate points, but the pattern of play left me on the sidelines too often, reducing my sense of involvement and fairness in what was supposed to be a shared social game.","I am somewhat unsatisfied with how much I got to play because I only had a small number of opportunities to toss the ball compared to the other player. The game mechanics meant that my turns came far less frequently, so I spent a lot of time just watching without being able to actively participate or earn points. This limited engagement made the experience feel passive and frustrating rather than interactive, which diminished my overall enjoyment of the activity.","I am satisfied with whatever bonus I ended up earning because any additional money is a nice outcome, especially since I didn't go into the game with high expectations for a large payout. Even a small amount feels like a positive reward for participating, and I appreciate that the study converted points into real monetary value. That said, I might have felt even happier if the distribution had been more even, but I'm genuinely grateful for what I did receive.","I think the treasurer's behavior during the game was noticeably biased toward Player 2, and I did not appreciate that at all. It felt like they consistently chose to throw the ball in a way that gave SP2 far more opportunities to score points, which made the game feel rigged or unfair. This did not meet my expectations for a balanced social interaction. I wish they had thrown the ball more equitably to both players so that everyone had a fair shot at earning points and feeling included.","I think Player 2 was simply playing the best they could within the rules of the game, and there wasn't really anything they could have done differently since they could only toss to the Treasurer when it was their turn. Their behavior didn't strike me as unfair or intentional as it was just the result of getting more opportunities. I don't dislike how they played; they took advantage of the chances they were given, which is understandable in a points based game.","I would say: ""Hey, I felt pretty left out during the game because it seemed like you almost always chose to throw to Player 2 instead of giving me a fair share of turns. That made me feel excluded and frustrated, and it reduced my enjoyment quite a bit since I couldn't earn as many points. In the future, I'd really appreciate it if you tried to throw the ball to each player a more equal amount so the experience feels balanced and everyone gets to participate meaningfully.""",2
"12","I am not satisfied because the ball was not thrown evenly. The treasurer should have made sure the throws were even instead of favouring one player as much as it did. Plater 2 was also selfish and should have thrown the ball to me a couple of times. The game was rigged.","I am not satisfied with how much I got to play. The ball was thrown to me only 4 times, but player 2 had it 12 times. I was not happy, but there was nothing that I could do to change the outcome. My fate was with the other players, and they chose to leave me out.","On the face of it I am satisfied to make $0.20. It wasn't much efforet to earn. However seeing how many times the ball was thrown to player 2, I am not satisfied with my earnings. With the ball being thrown 16 times, the turns should have been evened out so both players got $0.40","I did not like how the treasurer behaved. On the face of it there was not reason for them to throw the ball 3 times as often to player 2 rather than me. It met my expectations as I thought there would be a twist to teh game and this is it.","I did not like how player 2 behaved. I think they should have thrown the ball to me a few times to even up the earning. Player 2 played selfishly but I can understand the desire for them to maximise their earnings. So although I don't blame them for playing how they did.","I would tell the treasurer that they should even out who they threw the ball too so that we have the same opportunity to earn a bonus. I might start by asking if player 2 was their friend because they seemed to favour them too much. I would ask them why they are selfish.",3
"25","I am satisfied because i feel that i was fairly compensated and the game was stable. It was overall a pleasant experience and everything went the way i was expecting for the most part. The pacing was perfect and there were no lulls in game play. I enjoyed being part of this.","I do feel that player 2 played more but i am still happy. There were times that i felt like i was watching player 2 and the treasurer go back and forth and Moreso spectating but in the end i still played enough to be satisfied and feel like i contributed.","i feel i was fairly compensated. It was what i anticipated plus a little extra. It is always nice to receive a bonus for these activities and playing with another person definitely makes it feel more interactive. It is always nice to hake a little extra money wherever you can.","the treasurer seemed to favour the other player, but that did not deter me. as long as everyone involved has some enjoyment i would say that the experience overall was pleasant. This study was a nice way to unwind after a long stressful day and i would  recommend it to anyone in a similar situation.","the seemed to play balanced between me and the other player. They passed the ball to me more than the treasurer and allowed me to have my own opportunities in scoring points> I appreciate his or her attempts in inclusion and letting me make my own moves in the game.","i wish i could have made more decisions and been set up for more plays. It felt that the other player had more chances to score than I did. I did capitalize when i could. However this did not ruin the experience for me and i still enjoyed taking part in this. ",4
"9","it was ok. I'm used to people not giving me a leg up. seems like real life. can't get around how another person chooses to throw the ball, so all I can do is just throw it back when it comes to me. it wasn't even but there were no rules it would be. ","none. sometimes these are fun. I got to click the mouse on one spot four times. it was kind of boring and I felt my attention wanting to go elsewhere. especially after it was very clear that my role was to be someone who was not going to get something as much as someone else. ","Very. I made it even. I'd rather cut my own wins to make it even. maybe that sounds kind of mean. but life feels really mean right now. if I'm getting 10 then you're getting ten. without a story or explanation as to why they need the money, I didn't care. ","indifferent. they didn't know me so it wasn't a personal slight. sometimes things just happen and they aren't even. nothing to do but keep clicking that mouse until it's over. Neither player one or player 2 could help how much the treasurer threw the ball and to whom he threw it to. ","indifferent. we had the same roles. we were virtually the same in my eyes. if there would have been interaction or a back story I may have felt more warm toward them. but to me, they don't really exist. so make the money even to show that I value equity.","Nothing. I really don't care that much. it's probably just a preset thing. it didn't feel like a personal slight. it was obvious I wasn't getting the ball as much, but I didn't feel like it wasn't fair or that I was being left out. I just waited for my turn. ",2
"12","Well, no, it was unfair. The ball kept getting thrown to player 2. It was quite bias, I think the treasured knew player 2 personally. I know this was a fixed game from an outside source, maybe the government, making sure they get the points. Give it to player 2, he should have the money.","I am not satisfied with the way I got to play. I waited a long time to get the ball. The treasurer threw it a total of 16 times but, not fairly to me. It figures it was a treasurer throwing and catching the ball. The treasurer must know what's in the bank.","I could have made more if this game was fair. I would have made .50 if it was a fair game. However, it was unfair as so many games are. Even sports games we are finding cheating going on. I guess I could call it the lottery, you take your chances!","Well of course I didn't like the treasurers behavior, it was one sided! Most of the throws were to SP2, l2 to sp2 out of 16. I guess it could meet my expectations as sometimes this is the way thing's go. I would really have liked the ball to come to me.","sp2 couldn't have behaved any differently as sp2 couldn't throw it to me. Sometimes sp2 seemed angry when throwing the ball. I wondered why, maybe they felt bad for me. It didn't make any difference. However, SP2 got the most money, so I'm sure they are glad for that. It's possible the treasurer got a pay off. ","I would like to know why treasurer made the choice they did by throwing the ball to sp2. They knew we could only throw it back to them. I want to know if they are biased against me. Was this pre planned. Is there a conspiracy going on? I believe pre planned. Is there a superior above the treasurer I can speak with? ",2
"10","I think it was a fair game.I wasn't quite sure what to expect going into it. I was pleasantly surprised that player 2 passed the ball to me a couple of time when they were ahead. It was a kind gesture that helped me keep when the treasurer wasn't passing to me.","Yes i am satisfied with how long i got to play. The ball was passed around long enough without getting boring. I was patient while waiting for the ball to get passed to me and was quick to return the pass. If the game had lasted any longer i would have probably lost interested and or started to multitask while finishing the game.","Yes i am satisfied with he money i made from the game. I wasn't expecting much so anything is better than nothing. It was nice that player 2 and i are close in earning so it felt like a fair game. I did not want to deduct anything from their earnings.","I had not expectations going into the game. It seemed like the treasurer favored passing to player 2 though which was a bit annoying a first. But once player two passed to me that helped make it feel more fair. I wonder if the game started with the treasure passing to me first if they would have continued to pass to me more than player 2? ","Player 2 was playing fair and kindly. They got the first ball passed them from the treasurer and more balls passed to them over the entire game. It seems like each time they got ahead by a couple of points they would pass the ball to me to help my catch up and earn points within their range. It made the game feel better.","I would just nicely ask why the choose to pass to player 2 more often and were they following any pattern. Maybe they find it easier throwing in the right direction as opposed to the left where i was positioned, i would ask them that. I would say that their passing to player 2 more often made me feel left out at times.",4
"12","No. It was clearly fixed and probably not real players. It was designed to be infuriating and the treasurer keep ignoring me and pass to the other one just so I got less of a bonus. Unless the treasurer knew who SP2 was and that's why they gave them every advantage, then it was just fixed and unfair.","No because it was extremely unfair. I do not believe it was real people I was playing against or at the very least the treasurer wasn't a real person. Either way it was extremely biased towards SP2 and meant I barely got any bonus money. I am very annoyed at this.","Not at all. It was an extremely unfair game. I only got $0.20 and the game felt fixed to limit how much bonus I can make so this makes me think the other players were not real people and it was just fixed to give me an absoultely minimal bonus.","They were very biased and deliberately kept ignoring me and passing to the other person. They were very unfair. They kept on passing to SP2 all the time - in fact 3 times as often as they passed to me, like they were purposefully ignoring me to avoid me getting a decent payout.","They only did as they were supposed to and allowed to. They weren't allowed to pass to me and even if they could have, I wouldn't have really expected them too because why shouldn't they maximise their bonus? But the treasurer seriously favoured them over me so they had a much higher bonus.","That it was extremely unfair and extremely biased and that I wasn't given equal opportunities to earn. You passed to the other player a whole three times more often than you did to me like you only wanted them to earn a decent bonus. It was totally uncalled for and I'm really annoyed!",2
"9","I would have liked to have passed the ball more as then my bonus would be bigger. I would have been alot happoer to get the amount of money as bonus - this would please be a lot nice and would have made my day - it really would have","I guess I played - I had wuite a few turns and am greateful for the opportunity. However, I would have preferred slightly more chances to receive the ball so I could feel more consistently involved throughout the game.
 I guess this would have given me more chance to throw the ball","I would liked to have earned more in bonus. I guess what I got Im happy with and it will do for this particular game in which I have no control over, so yeah partially satisified with what I got as a bonus even though it would be nice to have gotten a bit more","I guess I was ok with the behaviour of the treasurer, he passed the ball several times and I passed  it on but would have loved to be given the opportunity for more passes as that would mean I am liked in the game and there was no favouritsm at all","I was satisfied with the Sp2 behavior. He passed the ball several times, and I was able to pass it on as well. Still, I would have appreciated more opportunities to receive passes, as that would make me feel included, valued in the game, and show there was no favoritism.","I would tell the Treasurer that I appreciated the chances I received to participate and pass the ball. Their behavior felt mostly fair, and I enjoyed playing. However, I would have liked a few more opportunities to be involved, as that would have made me feel more included and engaged throughout the game.",1
"12","No, as I feel that SP 2 has been receiving the ball at a much higher rate than I have. This discrepancy seems quite unfair, as it limits my opportunities to score points. Ideally, we should be receiving the ball at an equal frequency to ensure a level playing field.","I didn't enjoy it as much because SP2 had significantly more playing time than I did, which made it difficult for me to really get into the game and showcase my skills. I felt like I was missing out on opportunities to contribute and engage with the team. I wish to have more play time in the future","I am satisfied with the outcome because I received exactly the amount of time I had previously reported to the treasurer. It’s reassuring to see that my request was processed accurately and efficiently, reflecting my expectations. This clarity in communication helps build trust and accountability within the team. Therefore, I like it","The treasure is quite biased in his decisions. He consistently favors SP2 when throwing the ball, which has resulted in an unfair distribution of points during our games. As a result, I have lost significantly more points compared to SP2. This imbalance not only affects my performance but also diminishes the competitive spirit of our matches.","Yes, I appreciated how they conducted themselves during the game; they were respectful and did not interrupt me while I was speaking. Even though they had possession of the ball more frequently than I did, I don’t think that reflects poorly on them. Their skill in maintaining control of the ball showed their ability and teamwork, and it contributed positively to the overall dynamics of the match.","I will make it a point to communicate to the treasure guardians the importance of being more equitable and impartial in their judgments during the next gathering. It’s crucial to ensure that every participant feels valued and that all decisions are based on fairness rather than personal preference or bias.",3
"4","I was not satisfied with it because I did not get more of the ball as often as I expected. The distribution of passes were not even. It prevented me from earning points. And since points were directly tied to passing to the Treasurer, having fewer chances to control the ball.","No, I am not satisfied with how much I got to play because the number o times I received the ball was lower compared to the other player. This caused an imbalance in participation. The structure of the the  game rewards ball posession which limited involvement and earn more points.","I am not satisfied with the amount of money I made because my total earnings were lower than they could have been if I had received more passing opportunities. Since each point converted directly into a monetary bonus, fewer chances to pass to the Treasurer restricted my final payout and limited my my overall reward.","The Treasurer’s behaviour did not seem balanced.... The pattern of ball distribution appeared to favuor the other player, which reduced my opportunities to participate. I expected a more even rotation among players to ensure equal chances to earn points. A more consistent and neutral passing pattern would have created a more structured and equitable experience.","The other player made more passes back to the Treasurer more often instead of including me in the exchange. This limited and reduced the interaction between us and reduced the number of times I could control the ball. I would have preferred a more varied passing strategy that involved both players more evenly throughout the game.","I would honestly tell them that the distribution of passes seemed uneven and that I had fewer opportunities to participate. I would suggest rotating passes more consistently between both players to ensure equal involvement. A more balanced approach would improve fairness and provide both participants with similar chances to earn points.",3
"8","ok well it was a strange game. i'm not really sure the purpose if you just send the same amount of balls to each player. so im ok with how the game went. no more than that. i guess i didnt know what to expect. but there you go. its done","not really. we bopth played the same amount and it took for ever to play out but that is probably the purpose i guess for it. i wouldnt have wanted to play any more for just 0.05 per go so i guess im glad it ended when it did. there we are","erm not really 0.40 cents for what seemed like about ten minutes of watching a ball go back and forth . there was no strategy to the game at all; it just seemed like we wre going through the motions and so i am not really sure what the point of it all was","well the treasurer behaved as you would expect - ie throw the ball equally to the two 'players' ie to appera fair. they tried to appear to randomise it a bit by doing a couple in a row rather than totally alternate which it appeared would happen at the end","i thought SP2 behaved exactly as i would have expected them to play (although it was clearly not another player but just the program). there is no other play in this game that seems to have no strategy. it would have been odd if SP2 would have done something else","i guess i would have said yes that is the obvious fair way to play - ie not showing favouritism to one or the other. to make it less obvious you might have varied the pattern of sending to the different players so it didnt appear so obviou s ie 3 or 4 in a row to one of them",1
"8","It was entirely equal. The treasurer treated both me and SP2 the exact same, and we got the ball an equal number of times. I am satisfied that I was able to participate as much as possible and that it was equal among all of us players. That is why I decided not to take money away. ","As it was entirely equal, I have nothing to complain about. The treasurer treated myself and SP2 the same and I cannot not be satisfied. I'd of course be very satisfied if the ball had only ever been thrown to me and I got all the money, but if I had been in the other player's shoes I'd have been unhappy. ","I am definitely satisfied with the bonus I received, as it was entirely equitable how often I was thrown the ball compared to player 2. It would be nice to receive the maximum possible amount, but I wouldn't think that would be fair and if I was SP2 I would have been upset.","The treasurer was completely fair toward me and SP2 in the game. They threw the ball to us the same number of times. They occasionally mixed up the pattern of throws, but it all added up to be the same number of times, so I liked it, didn't expect it. ","I feel totally neutral toward SP2 in the game. They behaved exactly the same as I did, so there is nothing I can really say against them. Thus, they met my expectations as self-serving but fair participants in the game. I wouldn't have had them play any differently than how they did.","Hey, thanks so much! You made me and SP2 both feel super included and fairly represented. You gave us both an equal share in playing and earning what we could, and that was very kind of you. You kept the playing field level and that was really cool of you!",1
"8","I am completely satisfied with how the game went for me. The game was extremely mundane, and only required me tossing a ball. Was I engaged? Yes. Did the game provide statisfaction mentally?  No. not at all. This is one of the most mmundane experiences i have ever had in a study. ","I am completely satisfied with how mch I got to play, because if I had to play any longer I would have pulled my hair out. I was counting the seconds. Not the minutes, but the seconds waiting for it to end. Overall, it was good that it was so brief. ","I am completely satified with the pay. I did nothing but click on the screen for four dollars. I am realizing now, that I am mostly being paid for these written responses. Fifty words is a lot for these mundane questions. I'm getting anxiety from just having to come up with things to say.","I loved how the treasurer behaved. He threw the ball to player two, and then he threw the ball to me. He kept throwing the ball to us, and he didnt seem to be biased at all. I like him. or perhaps her, to be non sexist. That is all.","Player two behaved like a normal person doing this challenge should behave. player two threw the ball to the treasurer in order to make money. I did the same. Player two should not have thrown the ball to me, becuase the treasurer was pretty fair in his /her allocataion of who to throw the ball to.","Hey treasurer, you performed really well with how you distributed the ball. I appreciate that. You didnt take sides. What is it like being a teo dimensional being, tossing balls to other two dimensional beings? Are you aware of your state of existence? Do you like ctaching balls? What do you do in your spare time?",1
"12","Not particularly satisfied. I feel only received the ball approximately 25% of the time, which felt very unfair. Especially since I had no control over the extent to which I was involved in the game. I felt that the fair thing would have been to each receive the ball more or less equally.","Not pleased at all. As mentioned above, I am not happy with the amount I received the ball, and by comparison to player 2, I received the ball drastically less often. My frustration grew more as the game progressed, as I was expecting that it would even out, but it never did.","Yes and no. In a vacuum, yes, I am satisfied that I am receiving a bonus, however, because I am able to see that my partner received three times as much as I did despite doing nothing additional to deserve it, makes me unsatisfied with the amount that I received.","I don't like the way they behaved because they did not distribute the ball equally or near equally. They clearly showed a preference towards player 2. If I were the treasurer, I would have tried to deliver the ball to players relatively equally so that each player could enjoy playing.","Unless I am misunderstanding player 2s roll in the game, I don't think that they did anything to influence the results. They passed the ball back to the treasurer pretty much as soon as they received it, so I have no problems with what they did or how they played.","I would tell the treasurer that I believe that I was treated unfairly, and as a result, both my enjoyment of the game, and my bonus payment were negatively impacted. I would tell them that if they have an opportunity to be the treasurer in a future game, that they play more inclusively.",2
